21:51:21{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677243082610, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'MARKET', 'originQuantity': 0.03, 'originPrice': 0.0, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122466414895.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'MARKET', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
21:51:21{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677243082610, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'MARKET', 'originQuantity': 0.03, 'originPrice': 0.0, 'averagePrice': 23864.4, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122466414895.0, 'commisionAsset': 'USDT', 'commision': 0.2863728, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'MARKET', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.39399999}
21:55:16{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677243317913, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23855.6, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122467160988.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
21:55:16{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677243317913, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23855.6, 'averagePrice': 23858.0, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'PARTIALLY_FILLED', 'orderLastFilledQuantity': 122467160988.0, 'commisionAsset': 'USDT', 'commision': 0.0190864, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
21:55:16{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677243317913, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23855.6, 'averagePrice': 23858.0, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122467160988.0, 'commisionAsset': 'USDT', 'commision': 0.0763456, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
22:00:25{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677243626759, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23887.6, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122468480843.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
22:00:25{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677243626759, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23887.6, 'averagePrice': 23885.6, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122468480843.0, 'commisionAsset': 'USDT', 'commision': 0.0955424, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': -0.276}
22:04:49{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677243890630, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23853.8, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122469534651.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
22:04:49{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677243890630, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23853.8, 'averagePrice': 23856.1, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122469534651.0, 'commisionAsset': 'USDT', 'commision': 0.0954244, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
22:26:16{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677245177832, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23887.4, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122475628845.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
22:26:16{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677245177832, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23887.4, 'averagePrice': 23885.0, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122475628845.0, 'commisionAsset': 'USDT', 'commision': 0.09554, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': -0.289}
22:50:38{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677246639664, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23727.5, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122486617336.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
22:50:38{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677246639664, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23727.5, 'averagePrice': 23729.8, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122486617336.0, 'commisionAsset': 'USDT', 'commision': 0.0949192, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
