N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
49,SK스퀘어,"57,300","2,000",+3.62%,100,"81,061","141,468",38.66,"1,598,515",N/A,N/A,
50,기업은행,"10,450",150,-1.42%,"5,000","77,779","744,301",13.99,"1,558,164",3.87,6.44,
51,LG이노텍,"327,000","4,000",+1.24%,"5,000","77,391","23,667",22.98,"315,095",8.71,30.94,
52,롯데케미칼,"218,500","4,000",-1.80%,"5,000","74,892","34,275",24.96,"136,491",5.50,1.22,
53,LG디스플레이,"18,800",400,+2.17%,"5,000","67,269","357,816",17.37,"2,221,686",4.26,-0.79,
54,현대글로비스,"174,500","3,000",+1.75%,500,"65,438","37,500",43.05,"84,627",9.41,12.45,
55,F&F,"843,000","25,000",+3.06%,500,"64,586","7,661",14.53,"22,878",N/A,N/A,
56,SK바이오팜,"81,900","4,000",+5.13%,500,"64,139","78,313",5.67,"231,327",-158.72,-135.18,
57,한화솔루션,"33,350","1,950",+6.21%,"5,000","63,791","191,278",18.22,"1,385,539",8.52,5.30,
58,한온시스템,"11,850",150,+1.28%,100,"63,255","533,800",17.62,"839,991",21.62,5.09,
59,한국조선해양,"87,400",700,+0.81%,"5,000","61,856","70,773",19.85,"311,547",-4.80,-7.42,
60,LG유플러스,"13,150",50,-0.38%,"5,000","57,414","436,611",35.98,"569,599",14.63,6.46,
61,CJ제일제당,"372,000","2,000",-0.53%,"5,000","56,002","15,054",22.44,"27,673",12.69,13.50,
62,강원랜드,"26,150",600,+2.35%,500,"55,945","213,940",18.24,"1,114,916",-169.81,-7.92,
63,맥쿼리인프라,"13,600",0,0.00%,0,"55,059","404,846",14.05,"924,542",N/A,N/A,
64,에스디바이오센서,"53,000",900,-1.67%,500,"54,734","103,271",10.60,"1,123,165",8.03,139.97,
65,미래에셋증권,"8,750",30,+0.34%,"5,000","53,840","615,316",13.70,"997,426",5.98,8.94,
66,KODEX 200,"36,330",405,+1.13%,0,"53,587","147,500",11.04,"5,115,513",N/A,N/A,
67,메리츠금융지주,"39,450",950,+2.47%,500,"52,867","134,011",8.69,"526,605",7.43,16.06,
68,현대제철,"38,900",50,+0.13%,"5,000","51,910","133,446",20.88,"538,545",5.96,-2.59,
69,메리츠화재,"43,000","1,200",+2.87%,500,"51,869","120,625",12.42,"493,050",8.92,16.91,
70,코웨이,"69,600",400,+0.58%,500,"51,365","73,800",60.88,"99,449",11.53,31.51,
71,SKC,"135,500","7,000",+5.45%,"5,000","51,312","37,868",16.47,"247,836",27.60,2.21,
72,삼성중공업,"5,750",0,0.00%,"1,000","50,600","880,000",14.43,"5,960,522",-2.34,-33.06,
73,금호석유,"158,000","1,500",+0.96%,"5,000","47,867","30,296",20.08,"124,282",2.83,20.18,
74,현대건설,"42,600",300,+0.71%,"5,000","47,438","111,356",23.29,"375,055",28.32,1.84,
75,삼성엔지니어링,"22,850",650,+2.93%,"5,000","44,786","196,000",36.64,"1,056,509",12.65,17.32,
